id,name,description,category,price,currency,size_value,size_unit,packaging,created_at,updated_at
409420087QNW2D06G06MH7JS,Selecta Supreme Cookies & Cream,Creamy vanilla ice cream blended with chunks of cream-filled chocolate cookies.,Multi-Serve Tubs,350.00,PHP,1.4,L,Tub,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
407702R5D86R3CBB81E3X29M,Selecta Supreme Double Dutch,"French Vanilla ice cream generously loaded with cashews, chocolate chips, and marshmallows.",Multi-Serve Tubs,350.00,PHP,1.4,L,Tub,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
413521JP1792738MBB68XMK5,Selecta Supreme Rocky Road,"Rich chocolate ice cream base packed with peanuts, chocolate chips, and soft marshmallows.",Multi-Serve Tubs,350.00,PHP,1.4,L,Tub,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
4116065CZMHNTR71A86YWAMC,Selecta Supreme Coffee Crumble,Creamy coffee ice cream made with Monk's Blend Coffee folded with chocolate chips and cashew nuts.,Multi-Serve Tubs,350.00,PHP,1.4,L,Tub,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
41511344QHQDJBZ4FRV45NKC,Selecta Super Thick Mango,Savor the vibrant and authentic flavors of the Philippines crafted with real mangoes.,Multi-Serve Tubs,350.00,PHP,1.4,L,Tub,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
417359ZGZV0QNH8M3DEYW8G5,Selecta Super Thick Ube Royale,Smooth and creamy local ube flavor crafted using authentic Kinampay Ube.,Multi-Serve Tubs,350.00,PHP,1.4,L,Tub,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
409339V9MK4RHRG0A0XWT91W,Selecta Super Thick Vanilla,Classic sweet vanilla ice cream oozing with extra-thick local creaminess.,Multi-Serve Tubs,485.00,PHP,3.8,L,Gallon,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
4088862F2RR4FH8VD6HQ69ZM,Selecta Special Quezo Real,"A savory-sweet traditional local delicacy featuring a rich, creamy cheese ice cream base.",Multi-Serve Tubs,350.00,PHP,1.3,L,Tub,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
414773WE720HJ0P121AG8FHQ,Selecta Supreme 2-in-1 Cookie & Cream + Double Dutch,Two delicious bestselling flavors combined side-by-side in one convenient pack.,Combination Packs,350.00,PHP,1.4,L,Tub,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
416951J7FD3NBDV1MM1QS36H,Selecta Hershey's Choco Milk Almond,Premium collaborative flavor blending Hershey's milk chocolate ice cream with roasted almond pieces.,Specialty Tubs,415.00,PHP,1.3,L,Tub,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
409892D87XEVH1ZTZXV5F6C1,Selecta Limited Edition Tres Leches Pint,Personal-sized version of the traditional milk-soaked cake-flavored dessert series.,Limited Edition,155.00,PHP,473,ml,Pint,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
4138050CXS9PQSNF661Q1A1F,Selecta 3-in-1 Birthday Ice Cream,Celebratory combination party tub featuring three popular staple ice cream flavors.,Combination Packs,140.00,PHP,750,ml,Tub,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
4162975Y25KN73W7KKDJGX6P,Selecta Creamdae Cookies & Rocky Road,An affordable multi-flavor value combination pack featuring two classic chocolate profiles.,Combination Packs,245.00,PHP,1.3,L,Tub,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
41150684MEXX0KJ3HG4B279E,Selecta Cornetto Chocolate,"Creamy chocolate ice cream topped with chocolate sauce and choco chips, wrapped in a golden wafer cone and ending in a crunchy choco tip.",Single-Serve Novelties,30.00,PHP,110,ml,Cone,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
416496PKZM0T9NY433H8KP6M,Selecta Cornetto Vanilla,"Creamy vanilla ice cream topped with chocolate sauce and crunchy nuts, wrapped in a golden wafer cone and ending in a crunchy choco tip.",Single-Serve Novelties,30.00,PHP,110,ml,Cone,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
411921G8X1MT1A4Z5EPH3YP4,Selecta Cornetto Cookies & Dream,"Creamy cookies & cream ice cream topped with chocolate sauce and chunky cookies bits, wrapped in a golden wafer cone and ending in a crunchy choco tip.",Single-Serve Novelties,30.00,PHP,110,ml,Cone,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
408186TJ449WSVW673RWDK4X,Selecta Cornetto Ube Caramel,"Creamy Ube-Flavored and Vanilla Ice Cream topped with caramel sauce and candied peanuts, wrapped in a golden wafer cone.",Single-Serve Novelties,30.00,PHP,110,ml,Cone,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
410258ZSW0QAXSVS8S3VV7TE,Selecta Cornetto Disc Black Choco Cookie,Creamy Chocolate Ice Cream topped with a fudgy Black Choco Disc and Choco Cookie Bits.,Single-Serve Novelties,35.00,PHP,120,ml,Cone,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
412596TV7NC82RBGNTA0W8JZ,Selecta Cornetto Disc Matcha Crumble,Creamy Matcha Cookies and Vanilla Ice Cream topped with a fudgy Matcha Choco Disc and Butter Cookies.,Single-Serve Novelties,35.00,PHP,120,ml,Cone,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
4082223DQAKGCJ8P0XHQQNB2,Selecta Magnum Cookies & Cream,Premium white chocolate cookie ice cream stick base dipped entirely in a hard dark chocolate cookie shell.,Premium Novelties,112.00,PHP,80,ml,Stick,2026-08-23 16:19:34.497281+08,2026-08-23 16:19:34.497281+08
